FY_StartYear,FY,Stage,Sector,Allocation_Cr
2022,2022-2023,Revised Estimates,Demand No. 11,5980.66
2022,2022-2023,Revised Estimates,Demand No. 10,5608.41
2022,2022-2023,Revised Estimates,Demand No. 19,5450.0
2022,2022-2023,Budget Estimates,Demand No. 26,5412.01
2022,2022-2023,Revised Estimates,Demand No. 13,5386.73
2022,2022-2023,Budget Estimates,Demand No. 62,5220.86
2022,2022-2023,Budget Estimates,Demand No. 10,5209.4
2022,2022-2023,Budget Estimates,Demand No. 32,5080.44
2022,2022-2023,Revised Estimates,Demand No. 32,4657.28
2022,2022-2023,Budget Estimates,Demand No. 19,4555.0
2022,2022-2023,Budget Estimates,Demand No. 96,4527.11
2022,2022-2023,Revised Estimates,Demand No. 30,4426.8
2022,2022-2023,Revised Estimates,Demand No. 26,4413.02
2022,2022-2023,Revised Estimates,Demand No. 62,4375.13
2022,2022-2023,Revised Estimates,Demand No. 96,4312.5
2022,2022-2023,Revised Estimates,Demand No. 98,3185.01
2022,2022-2023,Budget Estimates,Demand No. 48,3143.15
2022,2022-2023,Revised Estimates,Demand No. 48,3114.08
2022,2022-2023,Budget Estimates,Demand No. 70,3074.91
2022,2022-2023,Budget Estimates,Demand No. 100,2945.5299999999997
2022,2022-2023,Budget Estimates,Demand No. 89,2894.55
2022,2022-2023,Budget Estimates,Demand No. 23,2771.92
2022,2022-2023,Revised Estimates,Demand No. 23,2715.17
2022,2022-2023,Revised Estimates,Demand No. 100,2447.2799999999997
2022,2022-2023,Budget Estimates,Demand No. 44,2315.0
2022,2022-2023,Budget Estimates,Demand No. 99,2270.34
2022,2022-2023,Revised Estimates,Demand No. 7,2180.05
2022,2022-2023,Budget Estimates,Demand No. 7,2157.5
2022,2022-2023,Budget Estimates,Demand No. 2,1995.83
2022,2022-2023,Revised Estimates,Demand No. 2,1995.61
2022,2022-2023,Revised Estimates,Demand No. 70,1961.49
2022,2022-2023,Revised Estimates,Demand No. 89,1925.0
2022,2022-2023,Budget Estimates,Demand No. 45,1922.0
2022,2022-2023,Budget Estimates,Demand No. 24,1875.24
2022,2022-2023,Budget Estimates,Demand No. 102,1832.5
2022,2022-2023,Revised Estimates,Demand No. 93,1819.52
2022,2022-2023,Revised Estimates,Demand No. 12,1768.91
2022,2022-2023,Revised Estimates,Demand No. 44,1705.02
2022,2022-2023,Budget Estimates,Demand No. 90,1680.0
2022,2022-2023,Budget Estimates,Demand No. 49,1621.68
2022,2022-2023,Budget Estimates,Demand No. 14,1599.0
2022,2022-2023,Revised Estimates,Demand No. 45,1474.0
2022,2022-2023,Revised Estimates,Demand No. 49,1362.23
2022,2022-2023,Revised Estimates,Demand No. 24,1325.13
2022,2022-2023,Revised Estimates,Demand No. 102,1315.12
2022,2022-2023,Budget Estimates,Demand No. 12,1255.5
2022,2022-2023,Revised Estimates,Demand No. 90,1250.0
2022,2022-2023,Revised Estimates,Demand No. 99,1217.86
2022,2022-2023,Budget Estimates,Demand No. 93,969.5
2022,2022-2023,Budget Estimates,Demand No. 28,963.0699999999999
2022,2022-2023,Budget Estimates,Demand No. 47,954.65
2022,2022-2023,Revised Estimates,Demand No. 77,848.01
2022,2022-2023,Revised Estimates,Demand No. 18,836.89
2022,2022-2023,Revised Estimates,Demand No. 28,820.27
2022,2022-2023,Budget Estimates,Demand No. 94,740.39
2022,2022-2023,Revised Estimates,Demand No. 16,719.96
2022,2022-2023,Revised Estimates,Demand No. 61,639.0
2022,2022-2023,Budget Estimates,Demand No. 61,630.0
2022,2022-2023,Revised Estimates,Demand No. 78,627.79
2022,2022-2023,Budget Estimates,Demand No. 78,622.29
2022,2022-2023,Revised Estimates,Demand No. 47,614.92
2022,2022-2023,Revised Estimates,Demand No. 94,580.0
2022,2022-2023,Budget Estimates,Demand No. 18,532.55
2022,2022-2023,Budget Estimates,Demand No. 25,358.26
2022,2022-2023,Budget Estimates,Demand No. 9,314.53999999999996
2022,2022-2023,Budget Estimates,Demand No. 4,306.98
2022,2022-2023,Revised Estimates,Demand No. 25,303.81
2022,2022-2023,Budget Estimates,Demand No. 74,255.0
2022,2022-2023,Revised Estimates,Demand No. 4,250.16
2022,2022-2023,Budget Estimates,Demand No. 88,239.25
2022,2022-2023,Revised Estimates,Demand No. 88,239.25
2022,2022-2023,Revised Estimates,Demand No. 74,229.25
2022,2022-2023,Budget Estimates,Demand No. 87,212.2
2022,2022-2023,Budget Estimates,Demand No. 72,163.2
2022,2022-2023,Budget Estimates,Demand No. 77,162.07
2022,2022-2023,Revised Estimates,Demand No. 87,126.22
2022,2022-2023,Budget Estimates,Demand No. 16,106.0
2022,2022-2023,Revised Estimates,Demand No. 72,105.0
2022,2022-2023,Revised Estimates,Demand No. 14,98.34
2022,2022-2023,Revised Estimates,Demand No. 9,62.89
2022,2022-2023,Budget Estimates,Demand No. 5,51.5
2022,2022-2023,Revised Estimates,Demand No. 65,48.16
2022,2022-2023,Revised Estimates,Demand No. 91,43.68
2022,2022-2023,Budget Estimates,Demand No. 65,41.0
2022,2022-2023,Budget Estimates,Demand No. 91,39.0
2022,2022-2023,Revised Estimates,Demand No. 5,32.0
2022,2022-2023,Revised Estimates,Demand No. 97,16.490000000000002
2022,2022-2023,Budget Estimates,Demand No. 33,8.55
2022,2022-2023,Revised Estimates,Demand No. 33,8.02
2022,2022-2023,Budget Estimates,Demand No. 17,6.18
2022,2022-2023,Revised Estimates,Demand No. 17,6.17
2022,2022-2023,Budget Estimates,Demand No. 97,4.49
2022,2022-2023,Budget Estimates,Demand No. 37,0.0
2022,2022-2023,Budget Estimates,Demand No. 92,0.0
2022,2022-2023,Revised Estimates,Demand No. 92,0.0
2023,2023-2024,Budget Estimates,Demand No. 86,270250.38
2023,2023-2024,Budget Estimates,Demand No. 85,240000.0
2023,2023-2024,Budget Estimates,Demand No. 15,197868.57
2023,2023-2024,Budget Estimates,Demand No. 6,175103.37
2023,2023-2024,Budget Estimates,Demand No. 21,162600.0
2023,2023-2024,Budget Estimates,Demand No. 1,98980.03
2023,2023-2024,Budget Estimates,Demand No. 76,40785.6
2023,2023-2024,Budget Estimates,Demand No. 37,27554.59
2023,2023-2024,Budget Estimates,Demand No. 60,26444.96
2023,2023-2024,Budget Estimates,Demand No. 68,21852.55
2023,2023-2024,Budget Estimates,Demand No. 79,16108.92
2023,2023-2024,Budget Estimates,Demand No. 13,14843.32
2023,2023-2024,Budget Estimates,Demand No. 27,12440.279999999999
2023,2023-2024,Budget Estimates,Demand No. 64,12434.82
2023,2023-2024,Budget Estimates,Demand No. 95,11669.41
2023,2023-2024,Budget Estimates,Demand No. 71,9874.81
2023,2023-2024,Budget Estimates,Demand No. 51,8947.39
2023,2023-2024,Budget Estimates,Demand No. 46,8820.27
2023,2023-2024,Budget Estimates,Demand No. 11,7372.03
2023,2023-2024,Budget Estimates,Demand No. 3,6963.1900000000005
2023,2023-2024,Budget Estimates,Demand No. 100,6618.49
2023,2023-2024,Budget Estimates,Demand No. 62,6258.11
2023,2023-2024,Budget Estimates,Demand No. 48,6026.97
2023,2023-2024,Budget Estimates,Demand No. 19,6005.0
2023,2023-2024,Budget Estimates,Demand No. 23,5851.0
2023,2023-2024,Budget Estimates,Demand No. 29,5848.58
2023,2023-2024,Budget Estimates,Demand No. 26,4968.03
2023,2023-2024,Budget Estimates,Demand No. 96,4558.5
2023,2023-2024,Budget Estimates,Demand No. 10,4351.47
2023,2023-2024,Budget Estimates,Demand No. 30,3825.0
2023,2023-2024,Budget Estimates,Demand No. 98,3603.78
2023,2023-2024,Budget Estimates,Demand No. 7,3120.0
2023,2023-2024,Budget Estimates,Demand No. 89,2777.0
2023,2023-2024,Budget Estimates,Demand No. 44,2689.71
2023,2023-2024,Budget Estimates,Demand No. 45,2453.24
2023,2023-2024,Budget Estimates,Demand No. 2,2423.41
2023,2023-2024,Budget Estimates,Demand No. 70,2336.5
2023,2023-2024,Budget Estimates,Demand No. 99,2286.22
2023,2023-2024,Budget Estimates,Demand No. 92,2278.37
2023,2023-2024,Budget Estimates,Demand No. 24,2071.0
2023,2023-2024,Budget Estimates,Demand No. 102,1913.51
2023,2023-2024,Budget Estimates,Demand No. 90,1645.0
2023,2023-2024,Budget Estimates,Demand No. 12,1528.31
2023,2023-2024,Budget Estimates,Demand No. 49,1504.3400000000001
2023,2023-2024,Budget Estimates,Demand No. 8,1277.09
2023,2023-2024,Budget Estimates,Demand No. 61,1105.0
2023,2023-2024,Budget Estimates,Demand No. 32,1024.6399999999999
2023,2023-2024,Budget Estimates,Demand No. 93,976.86
2023,2023-2024,Budget Estimates,Demand No. 28,948.76
2023,2023-2024,Budget Estimates,Demand No. 94,680.0
2023,2023-2024,Budget Estimates,Demand No. 18,650.74
2023,2023-2024,Budget Estimates,Demand No. 77,632.0
2023,2023-2024,Budget Estimates,Demand No. 78,578.03
2023,2023-2024,Budget Estimates,Demand No. 47,566.4200000000001
2023,2023-2024,Budget Estimates,Demand No. 25,364.01
2023,2023-2024,Budget Estimates,Demand No. 74,226.75
2023,2023-2024,Budget Estimates,Demand No. 88,195.75
2023,2023-2024,Budget Estimates,Demand No. 4,185.44
2023,2023-2024,Budget Estimates,Demand No. 14,113.5
2023,2023-2024,Budget Estimates,Demand No. 9,113.5
2023,2023-2024,Budget Estimates,Demand No. 87,113.49
2023,2023-2024,Budget Estimates,Demand No. 72,76.0
2023,2023-2024,Budget Estimates,Demand No. 16,55.010000000000005
2023,2023-2024,Budget Estimates,Demand No. 91,45.03
2023,2023-2024,Budget Estimates,Demand No. 65,40.01
2023,2023-2024,Budget Estimates,Demand No. 97,24.0
2023,2023-2024,Budget Estimates,Demand No. 5,22.0
2023,2023-2024,Budget Estimates,Demand No. 33,9.91
2023,2023-2024,Budget Estimates,Demand No. 17,0.02
